bemerkungen,kreditpunkte,laufnummer,modulbezeichnung,modulbezeichnung_alternativ,kuerzel,semester,id_niveau,stichwoerter,id_sprache,letzte_aenderung,anzahl_durchfuehrungen,id_leistungsnachweis,lerninhalte,aktiv,stundenplanrelevant,summerschool,id_modus,id_herkunft,neu,winterschool,bibliographie,raumanforderung,id_methode,bonus,vorschlagsnote_anteil,zwischenpruefungen_anteil,msp,schlusspruefung_anteil,praktische_arbeit_anteil,id_modultyp,min_studis,max_studis,studis_geschaetzt,modulnummer
" - Grundlagen
 - PCR, NGS, NASBA, LCR, Hybridisierungstechniken, usw.
 - Historie der Molekularen Diagnostik
 - Datenauswertung von molekularbiologischen Analysen
 - Abklärungen von Leukämien, Lymphomen u.a. Abklärungen
 - Genetische Abklärungen im Vorfeld einer Transplan HLA-Diagnostik
 - Nachweis und der Genotypisierung von verschiedenen Vi-ren und Bakterien
 - In-situ-Techniken, diagnostischen Tumorgenanalysen  Tumorprofilen in Biopsien und cytologischen Präparaten
 - Kenntnisse im Bereich der Pharmakologie, insbesondere der Pharmakogenomik
 - Ausblick in die absehbare Zukunft der molekularen Diagnostik",,CAS-MD,MD,,,2,,,,2021-10-29,1,,,t,f,f,,,f,f,,,,f,,,,,,1,1,400,,31
"",3,B-LS-KT 009,Einf. Betriebswissenschaften (HS),Einführung in die Betriebsökonomie,EB,1,,"Wirtschaft als Teil des gesellschaftlichen Lebens / Bedürfnisse, Bedarf und Wirtschaftsgüter / Betriebswirtschaftslehre als Teil der Wirtschaftswissenschaften / Typologien einer Unternehmung / Die Unternehmung als System / Finanzielle Berichterstattung / Beurteilung von Investitionsvorhaben / Personalmanagement und Organisation / Marketing / Konzerne und andere Kooperationsformen.",1,2021-12-02,1,52,"<ul>
 <li><font face=Arial size=2>Einführung in die Welt der Betriebswirtschaft</font></li>
 <ul>
  <li><font face=Arial size=2>Wirtschaft als Teil des gesellschaftlichen Lebens</font></li>
  <li><font face=Arial size=2>Bedürfnisse, Bedarf und Wirtschaftsgüter</font></li>
  <li><font face=Arial size=2>Oekonomisches Prinzip</font></li>
  <li><font face=Arial size=2>Betriebswirtschaftslehre als Teil der Wirtschaftswissenschaften</font></li>
 </ul>
 <li><font face=Arial size=2>Wesensmerkmale (Typologien) einer Unternehmung</font></li>
 <ul>
  <li><font face=Arial size=2>Die Unternehmung als System</font></li>
  <li><font face=Arial size=2>Wesensmerkmale einer Unternehmung wie z.B. Eigentum, Gewinnorientierung, Branche, Grösse, Standort</font></li>
 </ul>
 <li><font face=Arial size=2>Unternehmungsziele</font></li>
 <ul>
  <li><font face=Arial size=2>Kernziele einer Unternehmung</font></li>
  <li><font face=Arial size=2>Zieldimensionen</font></li>
  <li><font face=Arial size=2>Zielbeziehungen</font></li>
 </ul>
 <li><font face=Arial size=2>Unternehmen und Umwelt</font></li>
 <ul>
  <li><font face=Arial size=2>Managementmodelle und –prinzipien</font></li>
  <li><font face=Arial size=2>Unternehmungsumwelt: Wertschöpfungskette, Umweltsphären und Anspruchsträger</font></li>
  <li><font face=Arial size=2>Umwelt- und Unternehmungsanalyse</font></li>
  <li><font face=Arial size=2>Kernkompetenzen und Wertschöpfungsprozesse</font></li>
 </ul>
 <li><font face=Arial size=2>Grundlagen der Unternehmensführung</font></li>
 <ul>
  <li><font face=Arial size=2>Modellbegriff und Verwendungswecke von Modellen</font></li>
  <li><font face=Arial size=2>Führung und Handlungsformen des Managements</font></li>
  <li><font face=Arial size=2>Planung und strategisches Vorgehen</font></li>
  <li><font face=Arial size=2>Unternehmenskultur</font></li>
 </ul>
 <li><font face=Arial size=2>Aufbauorganisation</font></li>
 <ul>
  <li><font face=Arial size=2>Begriff, Funktionen und Ziele der Organisation</font></li>
  <li><font face=Arial size=2>Formale Elemente von Organisationen</font></li>
  <li><font face=Arial size=2>Gestaltung der Primärstruktur (Aufgabengliederung, Modelle der Kompetenzzuteilung)</font></li>
  <li><font face=Arial size=2>Gestaltung der Sekundärstruktur </font></li>
 </ul>
 <li><font face=Arial size=2>Marketing</font></li>
 <ul>
  <li><font face=Arial size=2>Kundenorientierung als Ausgangspunkt des Marketings</font></li>
  <li><font face=Arial size=2>Handlungsfelder im Marketing</font></li>
  <li><font face=Arial size=2>Marketinginstrumente und ihr Einsatz</font></li>
  <li><font face=Arial size=2>Produktleistung</font></li>
  <li><font face=Arial size=2>Preis</font></li>
  <li><font face=Arial size=2>Vertrieb und Distribution</font></li>
  <li><font face=Arial size=2>Marketingkommunikation </font></li>
 </ul>
 <li><font face=Arial size=2>Marktleistungserstellung</font></li>
 <ul>
  <li><font face=Arial size=2>Produktion als Teil der betrieblichen Wertschöpfung</font></li>
  <li><font face=Arial size=2>Organisation und Struktur der Produktion</font></li>
  <li><font face=Arial size=2>Fertigungstypen</font></li>
  <li><font face=Arial size=2>Grundzüge der Beschaffungs- und Lagerlogistik </font></li>
 </ul>
 <li><font face=Arial size=2>Unternehmenskooperationen</font></li>
 <ul>
  <li><font face=Arial size=2>Ziele von Unternehmungskooperationen</font></li>
  <li><font face=Arial size=2>Arten von Unternehmungskooperationen</font></li>
  <li><font face=Arial size=2>Wirkung von Unternehmungskooperationen</font></li>
 </ul>
 <li><font face=Arial size=2>Personalmanagement</font></li>
 <ul>
  <li><font face=Arial size=2>Von der Personalwirtschaft zum Personalmanagement</font></li>
  <li><font face=Arial size=2>Funktionen des Personalmanagements</font></li>
  <li><font face=Arial size=2>Mitarbeiterführung</font></li>
  <li><font face=Arial size=2>Betriebliche Anreizsysteme</font><font size=2>&nbsp;</font></li>
 </ul>
</ul>",t,t,f,1,KT,f,f,,,,f,,,,100,,1,1,50,45,196
,3,B-LS-BZ 010,Zellbiologie,Zellbiologie,ZB,1,,"Einführung in Zelle und Zellarchitektur (Vergleich Bakterien, Pflanzen, Säugetiere) / Zellmembranaufbau und Funktionen / Zytoskelett und zellulärer Transport / Aufbau und Funktion von Zellorganellen / Funktionelle Zusammenhänge zellulärer Bestandteile / Einführung in gängige Mikroskopiertechniken / Zelle-Zelle-Kommunikation / Einführung in Signaltransduktion / Beispiele hochspezialisierter Zelltypen / Gewebe.",1,2021-08-16,1,52,"<ul>
 <li><font face=Arial size=2>Einführung in die Zelle</font></li>
 <ul>
  <li><font face=Arial size=2>Zellarchitektur: Vergleich Bakterien, Pflanzen, Säugetiere</font></li>
  <li><font face=Arial size=2>Zellmetabolismus</font></li>
  <li><font face=Arial size=2>Zelltod und Zellerneuerung</font></li>
 </ul>
 <li><font face=Arial size=2>&nbsp;Innere Organisation der Zelle</font></li>
 <ul>
  <li><font face=Arial size=2>Zellmembran: Aufbau und Funktionen</font></li>
  <li><font face=Arial size=2>Zellorganellen und deren Hauptfunktionen: Zellkern, Mitochondrien, Chloroplasten, Peroxisomen, endoplasmatisches Retikulum, Golgi Apparatus, Lysosomen</font></li>
  <li><font face=Arial size=2>Das Zytoskelett</font></li>
 </ul>
 <li><font face=Arial size=2>Zell-Zell Kommunikation</font></li>
 <ul>
  <li><font face=Arial size=2>Extrazelluläre Matrix</font></li>
  <li><font face=Arial size=2>Zell-Verbindungen, Synzytien</font></li>
  <li><font face=Arial size=2>Einführung in der Signaltransduktion</font></li>
 </ul>
 <li><font face=Arial size=2>Beispiele von hochspezialisierten Zelltypen</font></li>
 <ul>
  <li><font face=Arial size=2>Epithele</font></li>
  <li><font face=Arial size=2>Nerven- und Muskelzellen</font></li>
  <li><font face=Arial size=2>Erythrozyten</font></li>
  <li><font face=Arial size=2>Gameten</font></li>
 </ul>
 <li><font face=Arial size=2>Grundlagen zellanalytischer Methoden</font></li>
 <ul>
  <li><font face=Arial size=2>Zellen als Werkzeuge der Forschung</font></li>
  <li><font face=Arial size=2>Zelllinien, primäre Zellen, Stammzellen</font></li>
  <li><font face=Arial size=2>Allgemeine Konzepte von Bioassays</font><font
      size=2> </font></li>
 </ul>
</ul>",t,t,f,3,BZ,f,f,,,,f,30,,,70,,1,1,90,65,286
,3,B-LS-BZ 002,Smart Sensor Entw.,Do-it-yourself eines Smartphone Photometers,DIYDS,4,,Fabrikation eines simplen Photometers zur Analyse und quantitativen Bestimmung von Metaboliten mit einem Smartphone / Anwendung des gelernten in einer Fallstudie / Reflexion und Einordnung der Möglichkeiten von Do-It-Yourself.,1,2021-05-22,1,27,"<ul>
 <li><font face=Arial size=2>Crash-Kurse in Elektrotechnik und Umgang mit einfachen elektronischen Komponenten</font></li>
 <li><font face=Arial size=2>Crash-Kurs in Proteinbiochemie und Umgang mit einfachen biochemischen Prozeduren</font></li>
 <li><font face=Arial size=2>Konstruktion eines einfachen Fotometers mit elektronischen Bausteinen. LED-Fotosensor und WLAN-fähiger Mikroprozessor und Datenübertragung auf Smartphone.</font></li>
 <li><font face=Arial size=2>Konstruktion eines Fotometer Gehäuses mittels 3D-Drucker.</font></li>
 <li><font face=Arial size=2>Präparation und Konfiguration von biochemischen Reagenzien zur Messung von einfachen Metaboliten und Biomolekülen.</font></li>
 <li><font face=Arial size=2>Anwendung der Hergestellten Geräte im Rahmen einer Fallstudie zum digitalisierten in-vitro Diagnostik Zyklus (Drogen, Überzuckerung).</font></li>
 <li><font face=Arial size=2>Reflexion des Do-It-Yourself Ansatzes im Kontext von Technik und Gesellschaft.</font><font
     size=2>&nbsp;</font></li>
</ul>",t,f,f,2,BZ,f,f,,,,f,,,,,100,2,1,20,12,340
"Daran Denken: Zulassung Studis zu '"HLS - EDU IM2 MT'" beantragen",3,B-LS-MT 026,Pr. Medizintechnik,Praktikum Medizintechnik,kPrMT,5,,"Praktikumsthemen: Röntgen und Strahlenschutz / Endoskopie / 3-D-Scannen / Oberflächenrauheitsbestimmungen / Brain-Computer-Interface / Aufbau und Test eines Spirometers / Glucosesensor / Elektrophysiologie / Biomechanisches Armmodell / Netzwerk, PACS und DICOM.",1,2021-05-22,2,27,"<ul>
 <li><font face=Arial size=2>Röntgen und Strahlenschutz </font></li>
 <li><font face=Arial size=2>Endoskopie </font></li>
 <li><font face=Arial size=2>3-D-Scannen </font></li>
 <li><font face=Arial size=2>Oberflächenrauheitsbestimmungen </font></li>
 <li><font face=Arial size=2>Brain-Computer-Interface </font></li>
 <li><font face=Arial size=2>Aufbau und Test eines Spirometers </font></li>
 <li><font face=Arial size=2>Glucosesensor </font></li>
 <li><font face=Arial size=2>Elektrophysiologie </font></li>
 <li><font face=Arial size=2>Biomechanisches Armmodell </font></li>
 <li><font face=Arial size=2>Netzwerk, PACS und DICOM</font><font size=2>&nbsp;</font></li>
</ul>",t,t,f,1,MT,f,f,,,,f,,,,,100,2,1,25,40,318
,6,B-LS-MT 029,Projektarbeit MT,Projektarbeit MT,PAMT,5,,,3,2021-05-22,1,27,,t,t,f,12,MT,f,f,,,,f,,,,,100,4,1,45,30,13
,3,B-LS-BZ 009,Grdl. Biologie u Genetik,Grundlagen Biologie und Genetik,GBG,1,,"Eigenschaften lebender Systeme / Chemische Grundlagen des Lebens / Wasser und Leben / Struktur und Funktion biologischer Makromoleküle / Mendel und das Genkonzept / Zellzyklus, Mitose / Meiose und geschlechtliche Fortpflanzung / chromosomale Grundlagen der Vererbung / Dawin und die Evolutionstheorie / Evolution von Populationen / Entstehung der Arten.",1,2021-12-02,1,52,"<ul>
 <li><font face=Arial size=2>Eigenschaften lebender Systeme</font></li>
 <ul>
  <li><font face=Arial size=2>Chemische Grundlagen des Lebens</font></li>
  <li><font face=Arial size=2>Wasser und Leben</font></li>
  <li><font face=Arial size=2>Struktur und Funktion biologischer Makromoleküle</font></li>
 </ul>
 <li><font face=Arial size=2>Grundlagen der Vererbung / Genetik</font></li>
 <ul>
  <li><font face=Arial size=2>Zellzyklus, Mitose</font></li>
  <li><font face=Arial size=2>Meiose und geschlechtliche Fortpflanzung</font></li>
  <li><font face=Arial size=2>Mendel und das Genkonzept</font></li>
  <li><font face=Arial size=2>Chromosomale Grundlagen der Vererbung</font></li>
 </ul>
 <li><font face=Arial size=2>Evolution</font></li>
 <ul>
  <li><font face=Arial size=2>Darwin &amp; die Evolutionstheorie</font></li>
  <li><font face=Arial size=2>Evolutionsmechanismen</font></li>
  <li><font face=Arial size=2>Abstammung</font></li>
  <li><font face=Arial size=2>Evolution von Populationen</font></li>
  <li><font face=Arial size=2>Entstehung der Arten &amp; Geschichte des Lebens </font><font
      size=2>&nbsp;</font></li>
 </ul>
</ul>",t,t,f,3,BZ,f,f,,,,f,,,,100,,1,1,90,75,113
,3,B-LS-MI 018,Interaktive Systeme,Interaktive Systeme,IS,4,,"Prinzipen der Interaktion mit technischen Systemen (Discoverability, konzeptionelle Modelle, Usability, Ergonomie, User Experience) / User-Centered Design (Analyse des Nutzungskontextes, Definition der Anforderungen, Konzeption und Entwurf, Evaluation) / Interface Design (Designprinzipien, Informationsarchitektur, Information Design) / Entwicklung von Prototypen (Papier) / Entwicklung von interaktiven Applikationen (Software).",1,2021-12-02,1,27,"<ul>
 <li><font face=Arial size=2>Prinzipen der Interaktion mit technischen Systemen (Discoverability, konzeptionelle Modelle, Usability , Ergonomie, User Experience)</font></li>
 <li><font face=Arial size=2>Prinzipen der Interaktion mit technischen Systemen (Discoverability, konzeptionelle Modelle, Usability, Ergonomie, User Experience)</font></li>
 <li><font face=Arial size=2>User-Centered Design (Analyse des Nutzungskontextes, Definition der Anforderungen, Konzeption und Entwurf, Evaluation)</font></li>
 <li><font face=Arial size=2>Interface Design (Designprinzipien, Informationsarchitektur, Information Design)</font></li>
 <li><font face=Arial size=2>Entwicklung von Prototypen (Papier)</font></li>
 <li><font face=Arial size=2>Entwicklung von interaktiven Applikationen (Software) Visual User Interfaces (Multi-View-Systeme, Direct Manipulation)</font><font
     size=2>&nbsp;</font></li>
</ul>",t,t,f,2,MI,f,f,,,,f,100,,,,,2,1,30,15,110
,3,B-LS-MI 022,Netzwerkprogrammierung,Netzwerkprogrammierung,NP,5,,"Komponenten und Architekturen verteilter Softwaresysteme / Frameworks zur Realisierung von verteilten Anwendungen / Synchrone und asynchrone Kommunikationsprotokolle, automatisierte Kompilierung und Test / Cloud-Dienste.",1,2021-12-02,1,52,<ul> <li>Software-Architektur und verteilte Systeme</li><li>Grundlagen: Threads und Sockets</li><li>Cloud Computing: Docker und Kubernetes</li><li>Security</li><li>Libraries und Frameworks zur Realisierung verteilter Anwendungen</li><li>Durchführung einer Fallstudie&nbsp;</li></ul>,t,t,f,2,MI,f,f,,,,f,,,,100,,2,1,25,20,193
,20,B-LS-CB 025,Bachelor-Arbeit CB,Bachelor-Arbeit CB,BScTCB,6,,,3,2021-05-22,1,27,,t,f,f,10,CB,f,f,,,,f,,,,,100,5,1,50,,34
" - Basis: GMP Dokumentation
 - Basis: Qualifizierung
 - Basis: Validierung
 - Basis: GMP-Training oder alternativ Basis: GDP Gute Vertriebspraxis
 - Basis: Computervalidierung
 - Basis: Hygiene
 - Lieferantenqualifizierung
 - Basis: Abweichungen, CAPA, Änderungen
 - Quality by Design (QbD) ICH Q8 - Q11
 - Praxis: Herstellprozesse und Verfahren für feste Arzneiformen
 - SOPs, erstellen und anwenden
 - Batch Record Review, Freigabe
 - Basis: FvP
 - Basis: GMP im Labor
 - Datenintegrität und Audit Trail Review
 - Kompakt: Neue Anforderungen an Medizinprodukte
 - Intensiv: GMP-Audito",,CAS-QMP,QMP,,,1,,,,2021-06-24,1,,,t,f,f,,,f,f,,,,f,,,,,,1,1,400,,37
,30,B-LS-PT 300,"Bachelor-Arbeit PT, lang","Bachelor-Arbeit PT, lang",BSTPTa,6,,,3,2021-10-22,1,27,,t,f,f,11,PT,f,f,,,,f,,,,,100,6,1,20,,438
" - Regulatory affairs, design and submissions
 - Quality Management
 - Clinical Affairs",,CAS-CRQ,CARAQA,,,2,,,,2021-10-29,1,,,t,f,f,,,f,f,,,,f,,,,,,1,1,400,,28
,3,B-LS-BZ 008,Pr. Bioanalytik BZ,Praktikum Bioanalytik für BZ,kPrBA,4,,Methoden zum Nachweis und zur Charakterisierung von kleinen und grossen Molekülen im Hinblick auf deren Integrität und Funktionalität: Untersuchung der biospezifischen Interaktion mit Biosensoren und Kalorimetern / Bestimmung der Reinheit und des Molekulargewichts von Proteinen mit SEC-HPLC / Bestimmung der Stabilität und der Aggregatbildung von Proteinen mit Lichtstreu-ung / Enzyme zum Nachweis von Glukose im Selbsttest.,1,2021-05-22,3,27,"<div><font face=Arial size=2>Die Bioanalytik vereinigt physikalische, chemische und biologische Methoden zum Nachweis und zur Charakterisierung von kleinen und grossen Molekülen im Hinblick auf deren Integrität und Funktionalität.</font></div>

<ul>
 <li><font face=Arial size=2>Untersuchung der biospezifischen Interaktion zwischen Antigen und Antikörper mittels Biacore und Octet. Charakterisierung der Bindungseigenschaften (KD, ka, kd, </font><font
     face=Symbol size=2>t</font><font face=Arial size=2>)</font></li>
 <li><font face=Arial size=2>Untersuchung der biospezifischen Interaktion zwischen Ligand und Bindungsprotein mittels Kalorimeter (ITC). Charakterisierung von thermodynamischen Parametern (</font><font
     face=Symbol size=2>D</font><font face=Arial size=2>H, </font><font
     face=Symbol size=2>D</font><font face=Arial size=2>S, </font><font
     face=Symbol size=2>D</font><font face=Arial size=2>G, KA)</font></li>
 <li><font face=Arial size=2>Nachweis von Protein bzw. Antikörper Aggregaten mittels statischer und dynamischer Lichtstreuung. Abschätzung des Molekulargewichts (Mr)</font></li>
 <li><font face=Arial size=2>Bestimmung der Reinheit und des Molekulargewichts von Proteinen mit Grössenausschlusschromatographie (SEC-HPLC).</font></li>
 <li><font face=Arial size=2>Nachweis von Glukose mittels eines elektrochemischen Biosensors.</font><font
     size=2>&nbsp;</font></li>
</ul>",t,t,f,15,BZ,f,f,,,,f,,,,,100,3,1,16,45,387
,3,B-LS-BZ 015,Pr. Molekularbiologie I,Praktikum Molekularbiologie I,kPrMB1,2,,"Agarose-Gel-Elektrophorese / PCR / Restriktionsverdau (Plasmididentifizierung) / Klonierung (Verdau/Ligation/Transformation), z.B. anhand von GFP, ungerichtete Mutagenese.",1,2021-08-13,3,53,"<ul>
 <li><font face=Arial size=2>Klonierung</font></li>
 <ul>
  <li><font face=Arial size=2>Plasmidreinigung</font></li>
  <li><font face=Arial size=2>Restriktionsverdau und Ligation</font></li>
  <li><font face=Arial size=2><em>E. coli</em> Transformation</font></li>
  <li><font face=Arial size=2>Proteinexpression</font></li>
 </ul>
 <li><font face=Arial size=2>PCR</font></li>
 <ul>
  <li><font face=Arial size=2>gDNA-Reinigung</font></li>
  <li><font face=Arial size=2>Parameteroptimierung</font></li>
  <li><font face=Arial size=2>Agarosegelelektrophorese</font></li>
  <li><font face=Arial size=2>SNP-Analyse</font></li>
 </ul>
 <li><font face=Arial size=2>Gerichtete Mutagenese</font></li>
 <ul>
  <li><font face=Arial size=2>Primerentwurf</font></li>
  <li><font face=Arial size=2>Überlappextension</font></li>
  <li><font face=Arial size=2>Quickchange Mutagenese</font><font size=2>&nbsp;</font></li>
 </ul>
</ul>",t,t,f,15,BZ,f,f,,,,f,,,,33,67,3,1,20,60,7
